id;job_title;job_description;job_hours
1;Inversor Operaciones Asociado;Aplicaciones calculating;60283
2;Interno Marketing Especialista;Auto deposit;3530
3;Nacional Interacciones Técnico;Camino óptima primary;47774
4;Interno Tácticas Coordinador;Borders;21485
5;Nacional Implementación Administrador;synthesizing action-items Colonia;63091
6;Humano División Diseñador;Ergonómico;10962
7;Central Calidad Consultor;card Mercado;82795
8;Nacional Cuentas Desarrollador;Teclado instalación;72082
9;Central Usabilidad Productor;invoice a;31552
10;Senior Marca Especialista;Operaciones Integración;31169
